Date,Airline,Origin,Destination,Scheduled_Departure,Scheduled_Arrival,Actual_Departure,Actual_Arrival,Departure_Delay_Min,Arrival_Delay_Min,Delay_Duration_Min
2026-05-21,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,08:09,10:04,134,94,94
2026-05-22,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,06:28,08:16,33,-14,0
2026-05-23,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,11:55,12:55,360,265,265
2026-05-24,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,07:17,09:10,82,40,40
2026-05-25,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,06:19,08:16,24,-14,0
2026-05-26,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,13:07,15:03,432,393,393
2026-05-27,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,07:02,08:55,67,25,25
2026-05-28,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,06:24,08:13,29,-17,0
2026-05-29,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,07:10,09:03,75,33,33
2026-05-30,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,10:28,12:20,273,230,230
2026-05-31,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,09:05,10:59,190,149,149
2026-06-01,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,13:11,15:06,436,396,396
2026-06-02,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,14:49,16:35,534,485,485
2026-06-03,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,06:35,08:19,40,-11,0
2026-06-04,SpiceJet,Pune International Airport,Delhi Airport,05:55,08:30,06:55,08:39,60,9,9
